"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009303","GO:0009303","rRNA transcription","10/1101","43/18860",0.232558139534884,3.98369347105169,4.87704738771486,0.000144389877370686,0.00466947884813276,0.00391660056032761,"TOP1/MACROH2A1/SMARCA4/PWP1/NCL/GTF3C1/POLR1B/SPIN1/GTF3A/TP53",10
"GO:0042391","GO:0042391","regulation of membrane potential","48/1101","474/18860",0.10126582278481,1.73467158739466,4.03350429179457,0.00014459866523674,0.00466947884813276,0.00391660056032761,"ANK2/PARK7/YWHAH/GABBR1/ATP2A2/KMT2A/IFI6/SLC25A36/ATP1A1/PRKCZ/ATP1B1/NTRK2/CALM1/GRIA3/KCNG1/PARP1/MAPT/SSH1/BIN1/SHANK1/DVL1/GOT1/ACTN2/DLD/SOD1/WWP2/GABRB1/RAB3GAP1/ANK3/EHD3/MYH14/ADORA1/APP/KCNC1/KCNH2/FHL1/VCP/SNCA/PINK1/PRDX3/BNIP3L/GRM5/UNC13B/ASIC2/CREB1/SUMO1/MTCH2/GNA11",48
"GO:1990845","GO:1990845","adaptive thermogenesis","23/1101","171/18860",0.134502923976608,2.30401920635679,4.26513465909406,0.000158015322978414,0.00507181303329504,0.00425406483552732,"THRA/NOVA1/NR1D1/HNRNPU/SMARCA4/KDM1A/ALMS1/BSCL2/SLC25A4/LETMD1/VEGFA/RB1/DYNC1H1/ACOT13/KDM6B/QKI/ZNF516/PRKAB2/SORL1/DECR1/FABP5/FLCN/APC",23
"GO:0015931","GO:0015931","nucleobase-containing compound transport","29/1101","241/18860",0.120331950207469,2.06127209892176,4.12858117628241,0.000176969439009578,0.00564596475298028,0.00473564383399125,"WNK1/FXR1/KHSRP/ZC3H11A/ZC3H11C/DDX39B/NUTF2/SLC25A36/KPNB1/SRSF7/AGFG1/POM121/POM121C/RTRAF/SLC25A4/METTL3/LRPPRC/NUP50/SHOC2/RAN/QKI/DHX9/ADORA1/KIF5C/SRSF1/AKAP8L/BICD2/DDX25/SLC35B1",29
"GO:0016050","GO:0016050","vesicle organization","42/1101","401/18860",0.104738154613466,1.79415222162577,4.00235486851692,0.00017922288206194,0.00568361906227565,0.00476722699212976,"WASL/ANXA8L1/ANXA8/STX8/AGFG1/RAB2A/CUL3/AP3D1/PDCD6/ATP6V1H/WASHC4/TRAPPC4/PAFAH1B1/ATP6V1A/CHMP2A/RAB14/VAMP2/CLCN3/SNAP25/BACE2/ATP6V1E1/PEF1/TSG101/VPS16/PIKFYVE/AP2M1/LYST/PIP4K2B/RAB1A/SNCA/RAB27A/VPS33B/ATP6AP1/AP3M2/VPS8/HOOK2/CAV2/CREB1/VPS28/TRAPPC2L/DNM3/HPS5",42
"GO:0000724","GO:0000724","double-strand break repair via homologous recombination","25/1101","195/18860",0.128205128205128,2.19613870840029,4.18050348242791,0.000180816807569992,0.00570003460053974,0.00478099578913136,"ACTB/RECQL/SLF2/INTS3/CREBBP/NBN/POGZ/TERF2IP/KDM1A/RPA2/SFPQ/RAD51C/PRKDC/WAS/PARP1/MORF4L1/RUVBL1/YY1/XRCC2/H2AX/UBE2N/ACTR2/RAD50/UBQLN4/NIPBL",25
"GO:0034728","GO:0034728","nucleosome organization","20/1101","140/18860",0.142857142857143,2.44712598936032,4.27918610785961,0.00018326507270994,0.00570674281932335,0.00478662241563534,"RBBP4/SUPT16H/KAT6B/RSF1/ATRX/MACROH2A1/UBN1/H4C3/ARID1A/SMARCA4/SET/SMARCC1/BRD2/CHD1/NASP/BAZ1A/ANP32B/H2AX/SSRP1/SMARCC2",20
"GO:0006140","GO:0006140","regulation of nucleotide metabolic process","15/1101","89/18860",0.168539325842697,2.88705875149251,4.44304238481033,0.000184262277587669,0.00570674281932335,0.00478662241563534,"MACROH2A1/EP300/ZBTB7A/UCHL1/FIS1/PARP1/APP/VCP/PINK1/DNM1L/TP53/ENO1/PRKAG1/FLCN/MTCH2",15
"GO:1900542","GO:1900542","regulation of purine nucleotide metabolic process","15/1101","89/18860",0.168539325842697,2.88705875149251,4.44304238481033,0.000184262277587669,0.00570674281932335,0.00478662241563534,"MACROH2A1/EP300/ZBTB7A/UCHL1/FIS1/PARP1/APP/VCP/PINK1/DNM1L/TP53/ENO1/PRKAG1/FLCN/MTCH2",15
"GO:2000819","GO:2000819","regulation of nucleotide-excision repair","8/1101","29/18860",0.275862068965517,4.72548466910959,4.99906546353075,0.000187490615218132,0.00572996909377666,0.00480610382726537,"ACTB/ARID1A/SMARCA4/BCL7A/SMARCC1/HMGB1/CUL4A/SMARCC2",8
