"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04217","Cellular Processes","Cell growth and death","hsa04217","Necroptosis","20/608","168/9564",0.119047619047619,1.87265037593985,2.97313919313063,0.0048591641144562,0.0293349537280134,0.020838520568818,"2746/9555/3326/3455/5834/3716/2495/841/7416/5478/142/27243/291/3146/8795/816/1540/3014/10059/3320",20
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","23/608","204/9564",0.112745098039216,1.7735100619195,2.9096111468149,0.00520872911239977,0.0308735580116786,0.021931490999578,"60/287/7430/3845/71/5781/5567/998/7422/5499/1975/1499/816/288/2017/5747/3709/5295/7042/6655/7157/2260/858",23
"hsa03015","Genetic Information Processing","Translation","hsa03015","mRNA surveillance pathway","14/608","103/9564",0.135922330097087,2.13809402146142,3.02565954240832,0.00544981046521321,0.0315918862967545,0.0224417661778688,"7919/10250/5042/5527/5518/80335/26986/10284/8731/81608/5499/2107/5516/26528",14
"hsa03040","Genetic Information Processing","Transcription","hsa03040","Spliceosome","27/608","253/9564",0.106719367588933,1.67872373621802,2.8506700955722,0.00552373472059817,0.0315918862967545,0.0224417661778688,"58517/11338/7919/7307/102724594/7536/24148/10713/3192/6432/6430/220988/6427/83443/4809/8683/23451/29896/10262/10084/3312/6431/6429/6426/10523/55660/27258",27
"hsa04210","Cellular Processes","Cell growth and death","hsa04210","Apoptosis","17/608","137/9564",0.124087591240876,1.95193046484825,2.92395430304062,0.00599149101186008,0.0336763115494204,0.023922468649895,"60/3725/8739/7846/10376/3845/84790/71/841/6709/142/8795/55367/3709/5295/1508/7157",17
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","17/608","138/9564",0.123188405797101,1.93778604118993,2.89115525962673,0.0064431834143518,0.0356013185267574,0.0252899259796145,"60/3725/8976/10093/9844/71/10552/7454/998/5586/5747/5295/10109/8874/10097/6416/5880",17
"hsa04114","Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","17/608","139/9564",0.122302158273381,1.92384513441878,2.85862851577075,0.00692207935954869,0.0370575714609373,0.0263243969047666,"7533/5527/7534/5518/5567/801/805/9978/9126/8454/108/8881/5499/816/51433/3709/5516",17
"hsa04814","Cellular Processes","Cell motility","hsa04814","Motor proteins","22/608","197/9564",0.111675126903553,1.75667913438418,2.79599529584738,0.00693408545741465,0.0370575714609373,0.0263243969047666,"60/203068/10540/7846/10376/3831/84790/71/10383/103910/10381/547/7168/10627/23095/830/1778/8655/79784/3800/22920/10671",22
"hsa03450","Genetic Information Processing","Replication and repair","hsa03450","Non-homologous end-joining","4/608","13/9564",0.307692307692308,4.84008097165992,3.60976941289002,0.00728515666622479,0.0383058237611174,0.0272111114867479,"64421/5591/2547/10111",4
"hsa04070","Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","13/608","98/9564",0.13265306122449,2.08666756176155,2.8172041270002,0.00888888812516737,0.0459964687111835,0.0326742754809828,"1040/5298/51447/801/805/5297/5332/3709/5295/3631/200576/8396/9110",13
"hsa00010","Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","10/608","67/9564",0.149253731343284,2.34780047132757,2.88444067622082,0.00927917467460382,0.0472657959987632,0.0335759609936322,"5160/2597/5213/2821/3945/2026/230/1738/226/2023",10
"hsa03018","Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","11/608","78/9564",0.141025641025641,2.21837044534413,2.81499042394191,0.00994795558707648,0.0497582871554579,0.0353465391482103,"5042/26986/5213/3313/2026/1656/54512/80349/2023/9337/27258",11
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","16/608","133/9564",0.120300751879699,1.89236248516027,2.70010142112939,0.0100737636572399,0.0497582871554579,0.0353465391482103,"5527/5518/5567/801/805/50632/2892/5499/2785/816/5332/2783/3709/3800/5516/1385",16
