"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"2304","235122_at",0.984696024908825,9.16914359912848,4.25655749698745,0.000263083417027765,0.00686635197087536,0.369980431956713,NA,NA
"321","200660_at",1.89448475853898,3.58009301220808,4.25552890891494,0.000263778976931452,0.00687146690882847,0.367460214844431,"S100A11","S100 calcium binding protein A11"
"1233","213111_at",-1.27830320105026,9.06131699429622,-4.25549937356275,0.000263798976527315,0.00687146690882847,0.367387849234,"PIKFYVE","phosphoinositide kinase, FYVE-type zinc finger containing"
"1782","223380_s_at",1.62474956264521,8.68711150798974,4.25551680289799,0.000263787174228796,0.00687146690882847,0.367430553457178,NA,NA
"2033","227674_at",-2.06350394719037,3.45497707589618,-4.25552848828542,0.000263779261746344,0.00687146690882847,0.367459184244741,NA,NA
"2393","237107_at",1.49532539906015,7.03053458773032,4.25426324900153,0.000264637359714458,0.00689002268685141,0.364359230199839,NA,NA
"2259","233454_at",2.19687153091433,4.31955546701407,4.2540695463177,0.000264768975441954,0.00689016836377383,0.363884650254751,NA,NA
"479","201636_at",-0.914012788592872,8.54143269691087,-4.25281222625059,0.000265624873213036,0.00690915316028675,0.360804224284943,"FXR1","FMR1 autosomal homolog 1"
"1575","219204_s_at",-1.98550157608218,5.34397598167527,-4.25203587897145,0.000266154729850648,0.00691351487268234,0.358902232708616,"SRR","serine racemase"
"1888","225337_at",-1.00843891114843,8.80623231980943,-4.25222694928757,0.000266024227099759,0.00691351487268234,0.359370336554794,NA,NA
"1963","226480_at",-1.20156926913658,8.64677403200947,-4.25201074225182,0.00026617190319152,0.00691351487268234,0.358840650356861,NA,NA
"305","200602_at",0.995161383496045,12.9555270143623,4.25169227551655,0.000266389574197946,0.00691588317629282,0.358060443704579,"APP","amyloid beta precursor protein"
"37","1554173_at",1.75802424641227,4.26615788081354,4.25057132002719,0.000267157151702842,0.00692112269998585,0.355314288042006,NA,NA
"216","1562627_at",2.16965002389349,5.15694839817818,4.25091666733531,0.00026692044019207,0.00692112269998585,0.35616032262868,NA,NA
"2314","235419_at",1.71751897422875,6.61240496184823,4.25113996854348,0.00026676749373311,0.00692112269998585,0.356707372087022,NA,NA
"2483","239478_x_at",1.35398573672095,6.26611390799467,4.25061768873164,0.000267125357068452,0.00692112269998585,0.355427881985238,NA,NA
"2522","240029_at",1.91252134638467,4.10023047472196,4.25047337242433,0.000267224325919893,0.00692112269998585,0.35507433672255,NA,NA
"1383","215045_at",1.34127710657338,8.0759006341532,4.24858553456651,0.000268522322888528,0.00695144791852758,0.350449654969345,"CELF3","CUGBP Elav-like family member 3"
"418","201176_s_at",-1.18241956839591,8.78095957182604,-4.24672343425611,0.000269808760538629,0.0069814453300755,0.345888265185317,"ARCN1","archain 1 coat protein complex I subunit delta"
"469","201556_s_at",1.4843469006117,6.52400250572573,4.24577168315192,0.000270468643573954,0.00698723882423011,0.343556954544368,"VAMP2","vesicle associated membrane protein 2"
"598","202852_s_at",-1.4934150690654,7.39375586313608,-4.24515157789137,0.000270899447177711,0.00698723882423011,0.342038043109901,"AAGAB","alpha and gamma adaptin binding protein"
"1005","210185_at",1.26929574942136,7.05346506814761,4.24591697564287,0.000270367803486934,0.00698723882423011,0.343912843853226,"CACNB1","calcium voltage-gated channel auxiliary subunit beta 1"
"1371","214864_s_at",-0.975912893846347,8.47096096241091,-4.24511162032466,0.000270927230130185,0.00698723882423011,0.341940170316855,"GRHPR","glyoxylate and hydroxypyruvate reductase"
"1897","225451_at",-1.02077410886282,7.45177409155552,-4.24538076909177,0.000270740142593552,0.00698723882423011,0.342599430373205,NA,NA
"2205","232127_at",2.10625287775139,4.80688578239839,4.24534358740698,0.000270765980247169,0.00698723882423011,0.342508356277089,NA,NA
"2535","240230_s_at",2.60779902293872,4.99888194115421,4.24608153476099,0.000270253636532224,0.00698723882423011,0.34431592792733,NA,NA
"801","207270_x_at",1.8524003781124,3.75399962308673,4.24433068829151,0.000271470789785106,0.00699795635620023,0.340027363555418,"CD300C","CD300c molecule"
"2530","240168_at",2.62366544636274,6.10732977174277,4.24381390773378,0.000271831085136973,0.00700394183782469,0.338761590125642,NA,NA
"141","1558327_at",1.51439428613345,6.38371583197364,4.2429771938735,0.000272415443052804,0.00701569210970893,0.336712229629737,NA,NA
"1434","216187_x_at",1.64860756646791,11.4310511222731,4.24261339498832,0.000272669908002406,0.00701695180746188,0.335821193548425,NA,NA
"2607","242121_at",1.71813752277581,10.7322107510181,4.24254034129616,0.000272721035040814,0.00701695180746188,0.335642267580249,NA,NA
"2570","241219_at",1.69352111118021,5.4131169100558,4.24195852392959,0.000273128563335717,0.00702413179698039,0.334217271059922,NA,NA
"1453","216867_s_at",2.57627064944464,6.54020747828286,4.24114025512609,0.000273702735706305,0.00703558865761271,0.332213194167391,"PDGFA","platelet derived growth factor subunit A"
"123","1557586_s_at",1.58973742985534,7.59942983666471,4.2396145123029,0.000274776541056766,0.00705987189016855,0.328476521435544,NA,NA
